,x,y
1001,2.3417,48.8571
1002,2.347,48.8579
1005,2.3494,48.8613
1008,2.3426,48.8636
1010,2.3444,48.8595
1014,2.3341,48.8637
1015,2.3356,48.864
1018,2.3294,48.8648
1019,2.3283,48.8667
1023,2.3348,48.8635
1024,2.3427,48.8638
1025,2.3401,48.8614
1028,2.3428,48.8622
2001,2.3517,48.8652
2003,2.3508,48.8661
2006,2.3419,48.866
2007,2.3367,48.8671
2012,2.336,48.87
2014,2.3325,48.8691
2101,2.3455,48.8661
2107,2.349,48.87
2108,2.3414,48.8712
3003,2.365,48.8621
3004,2.3635,48.8671
3006,2.3616,48.8645
3007,2.3594,48.8624
3008,2.3611,48.8598
3009,2.3566,48.8616
3010,2.3542,48.8625
3012,2.3537,48.8675
3014,2.3528,48.8631
4001,2.3494,48.854
4005,2.3624,48.8513
4010,2.3612,48.855
4011,2.3571,48.8538
4014,2.3559,48.8594
4015,2.3564,48.856
4016,2.3533,48.8562
4017,2.3516,48.8572
4020,2.3501,48.8601
4021,2.3526,48.8614
4101,2.3684,48.8538
4103,2.354,48.8572
4104,2.3502,48.8619
4105,2.3632,48.85
4107,2.3684,48.8555
5001,2.3437,48.8516
5006,2.3431,48.8465
5007,2.3472,48.8489
5008,2.3461,48.851
5009,2.3475,48.8517
5010,2.3393,48.8438
5012,2.3454,48.8451
5013,2.3446,48.8425
5015,2.35,48.8415
5016,2.3495,48.8451
5019,2.353,48.8497
5020,2.3561,48.8492
5021,2.3534,48.8472
5022,2.3522,48.8463
5023,2.3557,48.8456
5027,2.3514,48.8371
5031,2.3546,48.8437
5032,2.3465,48.847
5034,2.3537,48.8405
5110,2.3519,48.8439
6004,2.327,48.8475
6007,2.3298,48.8427
6009,2.3324,48.8467
6012,2.3345,48.8533
6015,2.3391,48.8538
6016,2.3414,48.8524
6017,2.3378,48.8496
6018,2.3351,48.8425
6020,2.3427,48.8529
6021,2.3348,48.8564
6027,2.3242,48.8461
6028,2.3382,48.8518
6029,2.341,48.8489
6032,2.3316,48.8526
6103,2.3304,48.8503
6107,2.3276,48.8502
7001,2.3162,48.8478
7002,2.3204,48.8486
7003,2.3251,48.8512
7004,2.3263,48.8533
7007,2.3258,48.8597
7008,2.3238,48.8583
7009,2.3201,48.8614
7011,2.3186,48.8591
7012,2.3195,48.8543
7013,2.3127,48.8475
7017,2.3103,48.8573
7018,2.3097,48.8513
7019,2.3055,48.855
7020,2.3066,48.8566
7021,2.3037,48.8587
7022,2.3023,48.8616
7023,2.2956,48.8609
7024,2.3005,48.8582
7025,2.2932,48.8565
7101,2.3266,48.8522
7103,2.3022,48.8561
8002,2.3267,48.8757
8004,2.3233,48.8704
8005,2.3244,48.8691
8009,2.3265,48.8748
8011,2.3245,48.8809
8012,2.3262,48.8833
8015,2.3203,48.8735
8016,2.3237,48.8732
8020,2.3199,48.8821
8026,2.3155,48.8755
8028,2.2977,48.8734
8030,2.3077,48.8673
8032,2.3139,48.8715
8035,2.3132,48.8766
8036,2.3097,48.8775
8039,2.3077,48.8705
8041,2.3032,48.8707
8044,2.3053,48.8784
8045,2.3025,48.8649
8048,2.2985,48.8689
8050,2.3075,48.8715
8051,2.3203,48.8819
8052,2.3,48.8729
8053,2.3018,48.8748
8054,2.3013,48.8761
8055,2.2993,48.8782
8056,2.2966,48.8754
8057,2.2974,48.8749
8101,2.3265,48.878
8102,2.3033,48.8736
8103,2.3063,48.8738
8105,2.3024,48.8695
8110,2.3223,48.8771
8113,2.3194,48.8749
8115,2.3002,48.8713
8549,2.3011,48.8704
9002,2.3491,48.8792
9003,2.349,48.8837
9006,2.3463,48.8821
9008,2.3437,48.8792
9010,2.3444,48.8767
9018,2.3367,48.8821
9021,2.3374,48.8779
9022,2.338,48.8733
9024,2.3353,48.8734
9025,2.3354,48.8764
9028,2.3311,48.8802
9029,2.3328,48.8769
9030,2.332,48.8752
9032,2.3295,48.873
9033,2.3283,48.8728
9037,2.3282,48.8813
9038,2.3308,48.8832
9102,2.3305,48.8767
9104,2.3285,48.8745
9106,2.3294,48.8722
9108,2.3448,48.8779
9111,2.3381,48.8751
9113,2.3473,48.8758
10001,2.36,48.8685
10004,2.3535,48.8709
10007,2.3555,48.8724
10008,2.3587,48.8708
10009,2.3577,48.8721
10010,2.3611,48.871
10011,2.3623,48.8691
10013,2.3663,48.8711
10014,2.3639,48.8717
10015,2.3625,48.8741
10016,2.3598,48.875
10017,2.3568,48.8746
10020,2.3512,48.8771
10022,2.3561,48.8769
10023,2.3609,48.8762
10024,2.3722,48.8718
10026,2.3624,48.8793
10027,2.3584,48.8794
10029,2.3515,48.8807
10036,2.3671,48.8838
10037,2.3681,48.8813
10038,2.3698,48.8775
10040,2.3763,48.8728
10041,2.3561,48.8841
10042,2.3484,48.8724
10105,2.3513,48.8703
10107,2.3523,48.8819
10111,2.364,48.8735
10114,2.3667,48.8748
10151,2.3569,48.8796
10152,2.3542,48.879
10153,2.3545,48.8796
11001,2.3697,48.8538
11002,2.3734,48.8551
11004,2.374,48.8523
11006,2.379,48.8564
11007,2.383,48.8533
11008,2.3839,48.8504
11009,2.389,48.8522
11010,2.3918,48.8493
11012,2.3931,48.8505
11013,2.3949,48.8493
11014,2.3974,48.8488
11017,2.3961,48.8542
11020,2.3831,48.8563
11023,2.3836,48.8587
11024,2.3789,48.8588
11025,2.3729,48.857
11026,2.3813,48.8612
11028,2.3809,48.8638
11029,2.383,48.8666
11031,2.3731,48.8646
11032,2.3779,48.8679
11034,2.3727,48.8679
11038,2.3653,48.8657
11041,2.3756,48.8608
11042,2.3693,48.8646
11043,2.3671,48.8627
11044,2.3712,48.8634
11046,2.3655,48.8668
11102,2.3891,48.8529
11103,2.371,48.86
11104,2.3925,48.8559
11105,2.3752,48.8645
11110,2.3866,48.8592
11111,2.3872,48.855
11113,2.3693,48.8665
12001,2.3693,48.8513
12002,2.3705,48.8492
12003,2.3669,48.8459
12005,2.3789,48.8504
12006,2.3704,48.844
12008,2.3769,48.8468
12010,2.4018,48.8375
12012,2.3857,48.8473
12014,2.3955,48.8473
12016,2.4014,48.8451
12018,2.3959,48.8456
12020,2.4101,48.847
12021,2.411,48.8444
12023,2.4105,48.8408
12026,2.3822,48.8377
12028,2.3897,48.8419
12031,2.3855,48.8351
12034,2.3864,48.8323
12035,2.3971,48.8347
12036,2.3946,48.8403
12038,2.4005,48.84
12040,2.3987,48.8316
12041,2.4135,48.8337
12042,2.4092,48.8404
12043,2.3847,48.8429
12101,2.3764,48.8482
12106,2.3791,48.8439
12110,2.3886,48.8337
12114,2.4151,48.8439
12120,2.4183,48.8277
12124,2.4377,48.839
12125,2.4404,48.8371
12126,2.4185,48.8244
12127,2.4548,48.834
12128,2.4588,48.8226
12151,2.3726,48.8455
12152,2.3739,48.8464
13001,2.3447,48.8377
13004,2.3454,48.8306
13006,2.3571,48.8382
13007,2.3535,48.8351
13009,2.3504,48.83
13010,2.3567,48.8316
13011,2.3582,48.8354
13013,2.361,48.8395
13014,2.364,48.8425
13015,2.371,48.8327
13016,2.3797,48.8309
13020,2.3705,48.8391
13022,2.3491,48.8276
13024,2.3502,48.8255
13025,2.3474,48.8225
13026,2.3543,48.8233
13027,2.3442,48.8163
13029,2.3562,48.829
13030,2.3572,48.8258
13032,2.3594,48.8199
13033,2.3602,48.8173
13034,2.3611,48.829
13035,2.3602,48.826
13039,2.3655,48.8232
13043,2.3674,48.8323
13044,2.3691,48.8296
13045,2.3705,48.8278
13046,2.375,48.8257
13047,2.3777,48.8226
13049,2.3703,48.8342
13051,2.3714,48.833
13052,2.3743,48.829
13054,2.3773,48.8312
13055,2.3802,48.8286
13102,2.3651,48.8374
13107,2.342,48.8288
13111,2.3533,48.8186
13117,2.3668,48.8205
13118,2.3761,48.8243
13121,2.3886,48.825
13123,2.3763,48.8348
13151,2.3654,48.8415
13514,2.3635,48.8418
14002,2.3296,48.8392
14003,2.3313,48.8369
14005,2.3327,48.8331
14006,2.3369,48.8332
14008,2.3293,48.8315
14009,2.3338,48.8306
14010,2.3258,48.8274
14011,2.3317,48.8275
14012,2.3386,48.8267
14015,2.3399,48.8202
14021,2.3184,48.8245
14022,2.3131,48.8265
14023,2.3078,48.8237
14024,2.3057,48.828
14026,2.3233,48.8301
14029,2.3134,48.8343
14031,2.3215,48.8337
14035,2.3226,48.8379
14036,2.3293,48.8344
14037,2.3218,48.8257
14101,2.3233,48.8415
14104,2.3174,48.8331
14107,2.3229,48.8234
14110,2.3207,48.8277
14111,2.336,48.8375
14113,2.3416,48.8351
14120,2.3268,48.822
14124,2.3338,48.8211
15005,2.3127,48.8427
15006,2.3178,48.8447
15010,2.3029,48.8476
15012,2.3023,48.8433
15013,2.3066,48.8435
15017,2.3105,48.8363
15019,2.3045,48.8401
15021,2.2976,48.8448
15025,2.2967,48.8515
15028,2.2919,48.8514
15029,2.2873,48.8506
15030,2.2844,48.848
15031,2.2899,48.8482
15032,2.2818,48.8387
15033,2.2905,48.8448
15037,2.2955,48.8404
15038,2.3007,48.8396
15040,2.3089,48.8341
15043,2.3014,48.8291
15047,2.2993,48.8332
15048,2.292,48.8305
15049,2.2871,48.8322
15051,2.2935,48.836
15053,2.2915,48.8392
15054,2.2876,48.838
15057,2.2741,48.8365
15062,2.2859,48.8421
15065,2.28,48.8464
15068,2.2703,48.8382
15069,2.2884,48.8412
15071,2.295,48.8549
15072,2.2818,48.8493
15102,2.2846,48.8512
15103,2.2751,48.8434
15104,2.2757,48.8377
15105,2.2979,48.8528
15106,2.2947,48.8499
15107,2.2855,48.8336
15108,2.2873,48.845
15109,2.2811,48.8424
15110,2.281,48.8362
15111,2.2958,48.8347
15112,2.3109,48.8388
15115,2.3183,48.8413
15118,2.3223,48.8432
15122,2.3026,48.8355
15123,2.2967,48.848
15125,2.2766,48.8332
16001,2.2937,48.8712
16002,2.2842,48.8752
16003,2.279,48.8779
16005,2.2851,48.8703
16006,2.2899,48.8693
16007,2.2925,48.8649
16010,2.2829,48.8659
16014,2.2864,48.8635
16019,2.2688,48.863
16020,2.2643,48.8574
16024,2.2804,48.8529
16026,2.2704,48.8555
16028,2.2725,48.851
16031,2.2752,48.8562
16033,2.2653,48.8484
16035,2.2577,48.8489
16036,2.2569,48.8452
16038,2.2657,48.8451
16039,2.2644,48.841
16040,2.2598,48.8431
16042,2.258,48.8376
16101,2.2835,48.8767
16103,2.2915,48.8728
16107,2.2757,48.866
16108,2.2819,48.8639
16110,2.2731,48.861
16111,2.2765,48.8594
16115,2.2629,48.8526
16123,2.2642,48.8764
16129,2.2617,48.8621
16130,2.2675,48.8638
16135,2.2753,48.8724
17001,2.3268,48.8928
17002,2.3244,48.8879
17003,2.3279,48.8958
17004,2.3225,48.889
17005,2.3197,48.8903
17010,2.3189,48.8948
17012,2.3222,48.8841
17014,2.3107,48.8968
17015,2.3133,48.8837
17016,2.3169,48.8882
17017,2.3145,48.8871
17019,2.309,48.8826
17022,2.3041,48.8871
17024,2.3164,48.8812
17027,2.2983,48.8853
17028,2.2963,48.8888
17030,2.2952,48.8836
17031,2.2908,48.8856
17032,2.2886,48.8866
17033,2.2937,48.8755
17036,2.2915,48.8795
17038,2.2882,48.8762
17042,2.2844,48.8778
17044,2.3285,48.8979
17045,2.2978,48.8784
17048,2.314,48.8824
17050,2.3238,48.8831
17105,2.282,48.8835
17107,2.2932,48.8859
17115,2.3296,48.8988
18001,2.3326,48.8873
18002,2.3472,48.8853
18003,2.3329,48.8865
18005,2.3419,48.8842
18006,2.3441,48.8847
18014,2.3536,48.8883
18016,2.3425,48.89
18017,2.3382,48.8897
18020,2.34,48.891
18021,2.345,48.8909
18022,2.3491,48.8905
18024,2.3486,48.8915
18027,2.3363,48.8934
18028,2.3322,48.8941
18030,2.3475,48.8937
18032,2.344,48.8975
18033,2.338,48.8967
18038,2.3601,48.8952
18042,2.3363,48.8827
18044,2.3288,48.8841
18047,2.3267,48.8911
18049,2.3696,48.8985
18102,2.3588,48.8965
18103,2.3647,48.8989
18107,2.3536,48.8847
18108,2.3687,48.8951
18113,2.3343,48.8876
18114,2.3346,48.8853
19004,2.3711,48.8834
19005,2.3738,48.888
19006,2.3761,48.8907
19008,2.3819,48.8947
19009,2.3846,48.8965
19011,2.385,48.8934
19012,2.3747,48.8827
19014,2.3825,48.8863
19015,2.3834,48.8892
19017,2.391,48.8884
19021,2.3812,48.8826
19024,2.3815,48.878
19025,2.389,48.8796
19026,2.3925,48.882
19027,2.3979,48.8806
19028,2.3923,48.8765
19035,2.3978,48.8857
19037,2.4048,48.8766
19038,2.389,48.8756
19040,2.3995,48.8756
19041,2.3861,48.8743
19043,2.3979,48.8938
19102,2.3799,48.8732
19103,2.3921,48.8848
19105,2.3957,48.8837
19106,2.3727,48.9016
19108,2.3739,48.896
19109,2.3689,48.8862
19111,2.375,48.8972
19114,2.3786,48.8793
19119,2.3769,48.8806
19120,2.3861,48.8775
19123,2.3865,48.8911
19125,2.3785,48.8888
20002,2.396,48.8738
20004,2.416,48.8471
20013,2.3997,48.8554
20018,2.4099,48.8586
20019,2.4086,48.8773
20020,2.4004,48.861
20021,2.4034,48.8627
20023,2.404,48.865
20025,2.3978,48.8654
20026,2.401,48.8679
20028,2.3945,48.8652
20030,2.3871,48.8634
20031,2.3877,48.8655
20033,2.3851,48.868
20035,2.395,48.8694
20036,2.399,48.8707
20038,2.411,48.8735
20039,2.3813,48.8689
20041,2.378,48.8712
20042,2.3917,48.8722
